//X,Y,Z,R,G,B,Classification,Intensity,GpsTime,ReturnNumber,NumberOfReturns,UserData,PointSourceId
-129.78100586,37.14199829,-0.25600001,0,0,0,0.000000,14.000000,0.000000,1.000000,2.000000,49.000000,1.000000
-129.86399841,37.12599945,-0.36600000,0,0,0,0.000000,7.000000,0.014713,1.000000,2.000000,48.000000,1.000000
-130.20899963,37.23699951,-0.24400000,0,0,0,0.000000,21.000000,0.036782,1.000000,2.000000,49.000000,1.000000
-130.24800110,37.20800018,-0.27599999,0,0,0,0.000000,12.000000,0.051494,1.000000,2.000000,49.000000,1.000000
-130.83000183,37.56800079,2.15400004,0,0,0,0.000000,14.000000,0.066194,1.000000,2.000000,61.000000,1.000000
-131.20799255,37.81000137,2.12700009,0,0,0,0.000000,11.000000,0.088262,1.000000,2.000000,61.000000,1.000000
-131.14399719,37.49499893,-0.31000000,0,0,0,0.000000,14.000000,0.095631,1.000000,2.000000,48.000000,1.000000
-131.26300049,37.60900116,-0.24699999,0,0,0,0.000000,15.000000,0.102986,1.000000,2.000000,49.000000,1.000000
-131.65699768,37.88800049,2.16499996,0,0,0,0.000000,16.000000,0.110330,1.000000,2.000000,61.000000,1.000000
-132.95399475,42.01399994,0.69999999,0,0,0,0.000000,12.000000,0.117664,1.000000,2.000000,53.000000,1.000000
-131.61700439,37.64899826,-0.26300001,0,0,0,0.000000,7.000000,0.117699,1.000000,2.000000,49.000000,1.000000
-133.28100586,42.16299820,0.67400002,0,0,0,0.000000,16.000000,0.125018,1.000000,2.000000,53.000000,1.000000
-131.93400574,37.75799942,-0.25799999,0,0,0,0.000000,13.000000,0.125054,1.000000,2.000000,49.000000,1.000000
-132.10400391,37.87200165,-0.22400001,0,0,0,0.000000,13.000000,0.132409,1.000000,2.000000,49.000000,1.000000
-132.53900146,38.14199829,2.15300012,0,0,0,0.000000,10.000000,0.139754,1.000000,2.000000,61.000000,1.000000
-132.83999634,38.32799911,2.12199998,0,0,0,0.000000,18.000000,0.147109,1.000000,2.000000,61.000000,1.000000
-134.19700623,42.38600159,0.63900000,0,0,0,0.000000,12.000000,0.154442,1.000000,2.000000,53.000000,1.000000
-133.16200256,38.39500046,2.15199995,0,0,0,0.000000,14.000000,0.154464,1.000000,2.000000,61.000000,1.000000
-134.39900208,42.52199936,0.63499999,0,0,0,0.000000,13.000000,0.161797,1.000000,2.000000,53.000000,1.000000
-136.02699280,42.97399902,0.68900001,0,0,0,0.000000,9.000000,0.198575,1.000000,2.000000,53.000000,1.000000
-134.99800110,39.00699997,2.17499995,0,0,0,0.000000,26.000000,0.198597,1.000000,2.000000,61.000000,1.000000
-135.42500305,39.15000153,2.15599990,0,0,0,0.000000,12.000000,0.205953,1.000000,2.000000,61.000000,1.000000
-135.89399719,39.23699951,2.11100006,0,0,0,0.000000,11.000000,0.213308,1.000000,2.000000,61.000000,1.000000
-137.44999695,39.52000046,-0.14700000,0,0,0,0.000000,28.000000,0.242739,1.000000,2.000000,49.000000,1.000000
-138.57299805,40.11899948,2.21199989,0,0,0,0.000000,27.000000,0.257436,1.000000,2.000000,61.000000,1.000000
-139.79100037,40.56299973,2.24099994,0,0,0,0.000000,9.000000,0.272144,1.000000,2.000000,61.000000,1.000000
-140.22599792,40.56000137,2.34100008,0,0,0,0.000000,8.000000,0.279499,1.000000,2.000000,62.000000,1.000000
-141.07200623,40.65399933,-0.12800001,0,0,0,0.000000,13.000000,0.294220,1.000000,2.000000,50.000000,1.000000
-141.75599670,40.94900131,-0.05300000,0,0,0,0.000000,10.000000,0.301572,1.000000,2.000000,50.000000,1.000000
